Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,Accession  
Crotalus atrox clone 91_J7 genomic sequence,Crotalus atrox,western diamondback rattlesnake,8730,245,973,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX211995.1?report=genbank&log$=nucltop&blast_rank=1&RID=J83PRRHP013"",""KX211995.1"")"
Crotalus atrox clone 152_I6 genomic sequence,Crotalus atrox,western diamondback rattlesnake,8730,245,839,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX211994.1?report=genbank&log$=nucltop&blast_rank=2&RID=J83PRRHP013"",""KX211994.1"")"
"Trimeresurus flavoviridis phospholipase A2 gene cluster (PfPLA1(psi), PfPLA2, PfPLA3(psi), PfPLA4, PfPLA5)",Protobothrops flavoviridis,NA,88087,210,612,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB440236.1?report=genbank&log$=nucltop&blast_rank=3&RID=J83PRRHP013"",""AB440236.1"")"
"Ovophis okinavensis polymorphism, leading to a stop codon:INSD:D49391.1 (gPLA2-03) pseudogene, complete sequence; phospholipase A2 precursor (OoIIEPLA2) gene, complete cds; and ovarian tumor domain-containing protein 3 (OTUD3) gene, exon 8 and partial cds",Ovophis okinavensis,himehabu,8769,209,209,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM488542.1?report=genbank&log$=nucltop&blast_rank=4&RID=J83PRRHP013"",""KM488542.1"")"
Crotalus scutulatus scutulatus clone 102_I5 genomic sequence,Crotalus scutulatus scutulatus,Mojave rattlesnake,8738,205,784,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX211993.1?report=genbank&log$=nucltop&blast_rank=5&RID=J83PRRHP013"",""KX211993.1"")"
Crotalus adamanteus clone 29M24 genomic sequence,Crotalus adamanteus,eastern diamondback rattlesnake,8729,205,582,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX211996.1?report=genbank&log$=nucltop&blast_rank=6&RID=J83PRRHP013"",""KX211996.1"")"
"PREDICTED: Crotalus tigris OTU deubiquitinase 3 (OTUD3), transcript variant X3, mRNA",Crotalus tigris,Tiger rattlesnake,88082,205,205,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039367442.1?report=genbank&log$=nucltop&blast_rank=7&RID=J83PRRHP013"",""XM_039367442.1"")"
"Trimeresurus flavoviridis PfPLA6 gene for Phospholipase A2, complete cds",Protobothrops flavoviridis,NA,88087,205,406,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB588615.1?report=genbank&log$=nucltop&blast_rank=8&RID=J83PRRHP013"",""AB588615.1"")"
"Protobothrops elegans PeBP(R)-II precursor (PeBP(R)-II) and phospholipase A2 precursor (PeIIEPLA2) genes, complete cds",Protobothrops elegans,NA,88086,192,192,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM488541.1?report=genbank&log$=nucltop&blast_rank=9&RID=J83PRRHP013"",""KM488541.1"")"
"Protobothrops tokarensis phospholipase A2 precursor (PtPLA-B) and phospholipase A2 precursor (PtIIEPLA2) genes, complete cds",Protobothrops tokarensis,Tokara Habu,61225,183,183,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM488540.1?report=genbank&log$=nucltop&blast_rank=10&RID=J83PRRHP013"",""KM488540.1"")"
