chr	start	end	name	class	activity_base	TargetGene	TargetGeneTSS	TargetGeneExpression	TargetGenePromoterActivityQuantile	TargetGeneIsExpressed	distance	isSelfPromoter	powerlaw_contact	powerlaw_contact_reference	hic_contact	hic_contact_pl_scaled	hic_pseudocount	hic_contact_pl_scaled_adj	ABC.Score.Numerator	ABC.Score	powerlaw.Score.Numerator	powerlaw.Score	CellType	geneType	newID3
scaffold-ma3	156934	157689	intergenic|scaffold-ma3:156934-157689	intergenic	9.758243	crovir-transcript-4779	81944	17.435787	0.458128	TRUE	75367.5	FALSE	0.011654	0.011654	0.00429	0.00429	0.001229	0.005519	0.053853	0.073349	0.11372	0.063713	NA	NonVenom	NA
scaffold-ma3	260088	260213	intergenic|scaffold-ma3:260088-260213	intergenic	2.166241	crovir-transcript-4780	268662	43.629284	0.539868	TRUE	8511.5	FALSE	0.077709	0.077709	0.016148	0.016148	0.001229	0.017378	0.037644	0.061661	0.168337	0.057578	NA	NonVenom	NA
scaffold-ma3	427014	427485	intergenic|scaffold-ma3:427014-427485	intergenic	46.152781	crovir-transcript-4779	81944	17.435787	0.458128	TRUE	345305.5	FALSE	0.0031	0.0031	0	0	0.001229	0.001229	0.056731	0.077268	0.143081	0.080162	NA	NonVenom	NA
scaffold-ma3	427014	427485	intergenic|scaffold-ma3:427014-427485	intergenic	46.152781	crovir-transcript-4780	268662	43.629284	0.539868	TRUE	158587.5	FALSE	0.006101	0.006101	0	0	0.001229	0.001229	0.056731	0.092925	0.281568	0.096308	NA	NonVenom	NA
scaffold-ma3	427014	427485	intergenic|scaffold-ma3:427014-427485	intergenic	46.152781	crovir-transcript-4783	384611	29.357095	0.674075	TRUE	42638.5	FALSE	0.019129	0.019129	0.007582	0.007582	0.001229	0.008811	0.406645	0.443408	0.882842	0.132084	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4779	81944	17.435787	0.458128	TRUE	348237.5	FALSE	0.003077	0.003077	0	0	0.001229	0.001229	0.36818	0.501467	0.921781	0.516436	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4780	268662	43.629284	0.539868	TRUE	161519.5	FALSE	0.006004	0.006004	0	0	0.001229	0.001229	0.36818	0.60308	1.798467	0.615151	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4783	384611	29.357095	0.674075	TRUE	45570.5	FALSE	0.018053	0.018053	0	0	0.001229	0.001229	0.36818	0.401466	5.40751	0.809031	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4801	3342574	33.686758	0.387776	TRUE	2912392.5	FALSE	4.85e-4	4.85e-4	0	0	4.85e-4	4.85e-4	0.145266	0.298371	0.145266	0.226563	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4805	4056814	29.644347	0.51087	TRUE	3626632.5	FALSE	4.01e-4	4.01e-4	0	0	4.01e-4	4.01e-4	0.120031	0.137989	0.120031	0.056431	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4802	4076299	12.868864	0.531791	TRUE	3646117.5	FALSE	3.99e-4	3.99e-4	0	0	3.99e-4	3.99e-4	0.119472	0.082498	0.119472	0.039748	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4817	4538102	20.03766	0.919415	TRUE	4107920.5	FALSE	3.6e-4	3.6e-4	0	0	3.6e-4	3.6e-4	0.107698	0.080965	0.107698	0.054329	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4818	4686184	18.704171	0.582832	TRUE	4256002.5	FALSE	3.49e-4	3.49e-4	0	0	3.49e-4	3.49e-4	0.104431	0.083907	0.104431	0.05468	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4814	4688878	113.977402	0.717253	TRUE	4258696.5	FALSE	3.48e-4	3.48e-4	0	0	3.48e-4	3.48e-4	0.104373	0.083803	0.104373	0.053011	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4813	4689665	62.985796	0.825105	TRUE	4259483.5	FALSE	3.48e-4	3.48e-4	0	0	3.48e-4	3.48e-4	0.104357	0.083787	0.104357	0.052489	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4815	4699524	188.717029	0.193782	TRUE	4269342.5	FALSE	3.48e-4	3.48e-4	0	0	3.48e-4	3.48e-4	0.104147	0.112531	0.104147	0.048551	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4816	4716161	119.788708	0.670432	TRUE	4285979.5	FALSE	3.47e-4	3.47e-4	0.00214	0.00214	3.47e-4	0.002486	0.744705	0.17538	0.103795	0.026202	NA	NonVenom	NA
scaffold-ma3	429888	430475	intergenic|scaffold-ma3:429888-430475	intergenic	299.529088	crovir-transcript-4820	4810820	24.188332	0.576608	TRUE	4380638.5	FALSE	3.4e-4	3.4e-4	0	0	3.4e-4	3.4e-4	0.101841	0.137046	0.101841	0.066789	NA	NonVenom	NA
scaffold-ma3	3609113	3609946	intergenic|scaffold-ma3:3609113-3609946	intergenic	22.820498	crovir-transcript-4801	3342574	33.686758	0.387776	TRUE	266955.5	FALSE	0.003878	0.003878	0	0	0.001229	0.001229	0.028051	0.057616	0.0885	0.138028	NA	NonVenom	NA
scaffold-ma3	4067097	4067470	genic|scaffold-ma3:4067097-4067470	genic	2.248579	crovir-transcript-4806	4068753	48.546017	0.977531	TRUE	1469.5	FALSE	0.123436	0.123436	0.190683	0.190683	0.001229	0.191912	0.431529	0.097089	0.277556	0.071602	NA	NonVenom	NA
scaffold-ma3	4070090	4070448	intergenic|scaffold-ma3:4070090-4070448	intergenic	5.250582	crovir-transcript-4802	4076299	12.868864	0.531791	TRUE	6030	FALSE	0.104878	0.104878	0.091436	0.091436	0.001229	0.092666	0.486548	0.335971	0.550668	0.183207	NA	NonVenom	NA
scaffold-ma3	4071062	4071273	intergenic|scaffold-ma3:4071062-4071273	intergenic	1.535726	crovir-transcript-4802	4076299	12.868864	0.531791	TRUE	5131.5	FALSE	0.12068	0.12068	0.091436	0.091436	0.001229	0.092666	0.142309	0.098267	0.185331	0.06166	NA	NonVenom	NA
scaffold-ma3	4701550	4701671	genic|scaffold-ma3:4701550-4701671	genic	0.952534	crovir-transcript-4815	4699524	188.717029	0.193782	TRUE	2086.5	FALSE	0.123436	0.123436	0.095916	0.095916	0.001229	0.097146	0.092534	0.099984	0.117577	0.054811	NA	NonVenom	NA
scaffold-ma3	4712460	4712818	genic|scaffold-ma3:4712460-4712818	genic	3.506693	crovir-transcript-4815	4699524	188.717029	0.193782	TRUE	13115	FALSE	0.05335	0.05335	0.014488	0.014488	0.001229	0.015717	0.055115	0.059552	0.187082	0.087213	NA	NonVenom	NA
scaffold-ma3	4712460	4712818	genic|scaffold-ma3:4712460-4712818	genic	3.506693	crovir-transcript-4816	4716161	119.788708	0.670432	TRUE	3522	FALSE	0.123436	0.123436	0.099166	0.099166	0.001229	0.100396	0.352057	0.08291	0.432852	0.109268	NA	NonVenom	NA
scaffold-ma3	4712460	4712818	genic|scaffold-ma3:4712460-4712818	genic	3.506693	crovir-transcript-4811	4722074	66.550763	0.995871	TRUE	9435	FALSE	0.071049	0.071049	0.052271	0.052271	0.001229	0.053501	0.18761	0.05186	0.249146	0.058704	NA	NonVenom	NA
