chr	start	end	name	class	activity_base	TargetGene	TargetGeneTSS	TargetGeneExpression	TargetGenePromoterActivityQuantile	TargetGeneIsExpressed	distance	isSelfPromoter	powerlaw_contact	powerlaw_contact_reference	hic_contact	hic_contact_pl_scaled	hic_pseudocount	hic_contact_pl_scaled_adj	ABC.Score.Numerator	ABC.Score	powerlaw.Score.Numerator	powerlaw.Score	CellType	geneType	newID3
scaffold-mi4	973466	973848	intergenic|scaffold-mi4:973466-973848	intergenic	1.189476	crovir-transcript-3	926489	263.9421	0.115686	TRUE	47168	FALSE	0.01752	0.01752	0.011491	0.011491	0.001229	0.01272	0.01513	0.056123	0.02084	0.050593	NA	NonVenom	NA
scaffold-mi4	1067558	1068277	intergenic|scaffold-mi4:1067558-1068277	intergenic	16.543988	crovir-transcript-3	926489	263.9421	0.115686	TRUE	141428.5	FALSE	0.00674	0.00674	0.006102	0.006102	0.001229	0.007332	0.121294	0.449927	0.111504	0.2707	NA	NonVenom	NA
scaffold-mi4	1067558	1068277	intergenic|scaffold-mi4:1067558-1068277	intergenic	16.543988	crovir-transcript-5	1070919	250.530881	0.253902	TRUE	3001.5	FALSE	0.123436	0.123436	0.141921	0.141921	0.001229	0.14315	2.368272	0.91862	2.042125	0.810603	NA	NonVenom	NA
scaffold-mi4	1067558	1068277	intergenic|scaffold-mi4:1067558-1068277	intergenic	16.543988	crovir-transcript-35	2755087	252.992164	0.674258	TRUE	1687169.5	FALSE	7.8e-4	7.8e-4	0	0	7.8e-4	7.8e-4	0.012901	0.056415	0.012901	0.020102	NA	NonVenom	NA
scaffold-mi4	4109722	4110626	intergenic|scaffold-mi4:4109722-4110626	intergenic	16.229003	crovir-transcript-35	2755087	252.992164	0.674258	TRUE	1355087	FALSE	9.44e-4	9.44e-4	0	0	9.44e-4	9.44e-4	0.015314	0.066967	0.015314	0.023863	NA	NonVenom	NA
scaffold-mi4	4639641	4639963	intergenic|scaffold-mi4:4639641-4639963	intergenic	1.303006	crovir-transcript-69	4643803	105.987194	0.364122	TRUE	4001	FALSE	0.123436	0.123436	0.041372	0.041372	0.001229	0.042601	0.05551	0.111387	0.160838	0.217334	NA	NonVenom	NA
scaffold-mi4	4710965	4711517	intergenic|scaffold-mi4:4710965-4711517	intergenic	4.665433	crovir-transcript-69	4643803	105.987194	0.364122	TRUE	67438	FALSE	0.012837	0.012837	0.005881	0.005881	0.001229	0.00711	0.033172	0.066564	0.059891	0.080928	NA	NonVenom	NA
scaffold-mi4	6097029	6097812	intergenic|scaffold-mi4:6097029-6097812	intergenic	9.430507	crovir-transcript-69	4643803	105.987194	0.364122	TRUE	1453617.5	FALSE	8.88e-4	8.88e-4	0.002721	0.002721	8.88e-4	0.003609	0.034035	0.068296	0.008372	0.011313	NA	NonVenom	NA
scaffold-mi4	6183408	6183838	intergenic|scaffold-mi4:6183408-6183838	intergenic	7.37741	crovir-transcript-85	6179918	161.396998	0.529362	TRUE	3705	FALSE	0.123436	0.123436	0.092104	0.092104	0.001229	0.093333	0.688555	0.388464	0.910638	0.287781	NA	NonVenom	NA
scaffold-mi4	6193971	6194668	intergenic|scaffold-mi4:6193971-6194668	intergenic	16.261428	crovir-transcript-85	6179918	161.396998	0.529362	TRUE	14401.5	FALSE	0.049179	0.049179	0.014118	0.014118	0.001229	0.015347	0.249568	0.140799	0.799722	0.252729	NA	NonVenom	NA
scaffold-mi4	6193971	6194668	intergenic|scaffold-mi4:6193971-6194668	intergenic	16.261428	crovir-transcript-93	6440007	1491.293227	0.370802	TRUE	245687.5	FALSE	0.004169	0.004169	0.003598	0.003598	0.001229	0.004827	0.0785	0.058985	0.067787	0.042513	NA	NonVenom	NA
