"","Lvr_11","Lvr_4","ODPE_1","Panc_1","Pnc_11","Pnc_4","RVG_11","RVG_4","Stom_1"
"EFNB1_crovir-transcript-1",4.55820239349117,6.81976016408695,6.14171898354388,5.79480986965217,4.42297115126144,5.71129510649823,6.62990824028489,6.77534653966955,7.36798143619245
"ATRX_crovir-transcript-10",8.66456426140651,8.4525238785696,8.76897439664661,9.21888974375354,9.38471610737376,9.17253414361061,8.66612132163032,8.88892979511556,9.09028629782128
"LOC103052865_crovir-transcript-100",4.15921980488054,4.02606034570417,3.64400471121938,5.84172988135003,5.63881822073815,3.98331321376089,3.12831535210855,3.53592809845547,5.91541426058843
"FUCA1_crovir-transcript-1000",7.5584178686663,7.59745987923601,9.04674833773589,6.91574466809751,5.56170530521437,5.71129510649823,9.1636799612122,8.39950662959786,7.81512389032899
"DHX33_crovir-transcript-10000",6.62491384639483,6.56190246423105,4.69034152538841,5.64355687123351,7.28771613946421,6.556841937172,5.67219061720893,5.73592900391285,6.15517829131177
"MRPS17_crovir-transcript-10001",9.87749351519962,9.31743568542162,8.86995690911668,9.49083624071913,9.63060177231026,9.07860422741289,8.32758353745679,8.80526108655599,9.25122244130599
"CCT6A_crovir-transcript-10002",11.6517507861062,10.9384168451216,10.2830593071542,9.52631587253023,11.1811551490979,11.0326888038383,10.6575490976401,10.9701066748848,10.0407088699942
"SBDS_crovir-transcript-10003",9.32960368518648,9.55058987951025,9.61697773387823,9.41714609009404,8.67493642957434,9.08701934025802,9.33711773343163,9.50457112489686,9.12002351459261
"SUMF2_crovir-transcript-10004",9.0990027968298,8.81384313124439,8.85946954563209,7.75452782871644,7.27604916007494,7.85909929630141,8.4742517927075,8.1037574816486,7.8352080512718
"VKORC1L1_crovir-transcript-10005",6.17648199970248,5.59236149326784,8.49404340100472,5.41136352177607,5.74684931258736,5.66575974314998,9.36717142884124,8.45259022046789,6.23084730238951
"NIPSNAP2_crovir-transcript-10006",4.79588983643741,4.5792652090294,7.62768330845139,7.98647814853264,6.80928399215624,6.94010850855842,8.69123597213184,7.90214461097613,8.69306841162024
"NUPR2_crovir-transcript-10007",7.60758566774504,7.7519731871114,5.15663822744249,7.30836340219358,6.41942862349796,7.2419473666417,4.49311157643331,5.50185171706036,5.66265134425095
"CHCHD2_crovir-transcript-10008",11.341131419023,10.9858278992344,11.5478496539653,9.44707546115716,9.55320581858447,9.78242055643228,10.8096192966153,10.222062439204,9.78636841359491
