"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IHW_pvalue"
"NT5E_crovir-transcript-8937",8692.4273271921,10.38570339737,0.310050692268946,33.4967915129218,5.36706806167929e-246,7.14195746967664e-242,6.52904420232623e-242
"LOC103053826_crovir-transcript-3893",24391.2834621201,14.6833102128565,0.69803611454231,21.0351726894305,3.1263288632761e-98,2.08010290918075e-94,1.92833627303721e-94
"Venom_crovir-transcript-SVSP_9",15025.4497730287,11.7772198709226,0.583236672791351,20.1928658130449,1.13109384185975e-90,5.01715525120923e-87,4.58658967715211e-87
"Venom_crovir-transcript-SVSP_10",26384.5158123506,17.2448289434053,0.8829127307162,19.5317479785535,5.89854914818117e-85,1.96229983787117e-81,1.84038713026923e-81
"SEMA4G_crovir-transcript-10542",765.547667021515,-5.20624001318315,0.276992775361154,-18.7955805215319,8.20771652859677e-79,2.18440167692075e-75,2.56132075098602e-75
"Venom_crovir-transcript-PLA2_B1",42452.4805589335,10.3076457623973,0.55370639688842,18.6157245434072,2.39597187295788e-77,5.31386628557509e-74,6.27684626266949e-74
"Venom_crovir-transcript-SVMP_7",31763.1926221029,18.3525198300634,0.995366781897743,18.43794685922,6.51692367950621e-76,1.23886719147413e-72,1.16189951774917e-72
"Venom_crovir-transcript-PLA2_A1",133667.243891388,13.5334752904168,0.752519613846765,17.9842160142986,2.5902638304584e-72,4.30858009898874e-69,5.08938189979741e-69
"Venom_crovir-transcript-SVMP_10",25105.6545031201,16.4252249488016,1.02020627394639,16.09990584087,2.5549308880495e-58,3.77760725858608e-55,4.46218604846264e-55
"Venom_crovir-transcript-SVSP_8",6641.48403421597,14.4039232807316,0.925561396117818,15.562363924368,1.31163640587185e-54,1.74539456529367e-51,1.59560713091425e-51
"Venom_crovir-transcript-SVMP_1",16091.1805496425,11.4384796298768,0.736410789961303,15.5327431181146,2.08276496629474e-54,2.51957758240764e-51,2.95433134561452e-51
"QPCT_crovir-transcript-9447",2724.2213608349,9.68132012302472,0.627632070166953,15.4251520647271,1.10893654142208e-53,1.22971821305864e-50,1.44190640862926e-50
"Venom_crovir-transcript-SVSP_7",85623.3942973139,17.3268872440801,1.13303830224029,15.292410865388,8.59100331105661e-53,8.79388315847925e-50,8.2475415212357e-50
"Venom_crovir-transcript-SVMP_8",19020.8823218027,16.457008264177,1.08058432309788,15.2297307229084,2.24514293897478e-52,2.13400836349553e-49,2.00142784108099e-49
"SLC46A2_crovir-transcript-15304",486.883662343761,8.98692399175512,0.590490545973998,15.2194206207509,2.62848490849058e-52,2.33181657848561e-49,2.13170318883725e-49
"INSRR_crovir-transcript-14646",228.75014493454,-4.56958597375333,0.304359370402906,-15.0137844210421,5.96452964083062e-51,4.96062474565832e-48,5.10991996233848e-48
"Venom_crovir-transcript-SVMP_6",44413.4444176538,17.4795661082864,1.19415014810071,14.6376618853899,1.61528050438057e-48,1.26438456892895e-45,1.48255445316697e-45
"Venom_crovir-transcript-SVSP_11",59555.618654303,17.3479405101509,1.19971618847324,14.4600370294477,2.16681230377641e-47,1.60187618479737e-44,1.46440530647255e-44
"Venom_crovir-transcript-SVMP_5",7607.07316448241,16.5970850920887,1.17864105108067,14.0815433815674,4.93207504911061e-45,3.45426961465868e-42,3.15782880206371e-42
"LOC103060470_crovir-transcript-13607",14441.2471414018,-30,2.14739531682084,-13.9704132560064,2.36251816205601e-44,1.57190145912396e-41,1.84313346226454e-41
"Venom_crovir-transcript-SVSP_3",2820.47822413142,13.0436349094721,0.943276355081366,13.8280100409672,1.72733106367816e-43,1.09455211735073e-40,1.28341736816375e-40
"LOC103056124_crovir-transcript-7458",1476.01966210033,6.69287592806024,0.493488188897598,13.5623832112607,6.69257514342618e-42,4.04809533788965e-39,3.79659745069199e-39
"LOC103061774_crovir-transcript-5721",826.947752286443,12.3978015383457,0.929457380397508,13.3387520501945,1.37746132933856e-40,7.96951213456877e-38,7.47438657636365e-38
"Venom_crovir-transcript-SVMP_3",526.42425419187,12.8917292813453,1.00137652512169,12.8740078860733,6.30439580549402e-38,3.49552479098787e-35,3.19554351416774e-35
"GJB1_crovir-transcript-16136",5881.69449916492,-12.5150727358613,0.973171402965743,-12.8600909333357,7.54878153346689e-38,4.01806543463376e-35,3.72490288381593e-35
"AQP8_crovir-transcript-480",699.03209043313,-26.5835895607781,2.06793559258424,-12.8551342005567,8.04860588485893e-38,4.11933840422376e-35,3.76582227487483e-35
"LOC103055664_crovir-transcript-5455",1303.40743445685,3.858748520524,0.300261867692061,12.8512772873357,8.46016891863743e-38,4.16960991852994e-35,3.86539051257022e-35
"Venom_crovir-transcript-SVSP_5",50010.4133205499,13.6083125500042,1.06660910623726,12.7584815003231,2.79598380094276e-37,1.32879130139804e-34,1.569595143312e-34
"Venom_crovir-transcript-SVSP_1",6495.24197262081,14.5228202668521,1.14901996256776,12.6393106647142,1.28172710749273e-36,5.881359523933e-34,5.5159655866227e-34
"SLC39A11_crovir-transcript-14371",718.77905186616,7.79101318195792,0.619684360626797,12.5725509258899,2.98920773702193e-36,1.32591291188503e-33,1.24353730851769e-33
