Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.12,6,0.9,301,0.4,Up,3633,0.1335361344321,7,4,781,209,Up,0.089884279347912,-1.31813061173326,1.162330035134107,1.046316259206374
MA0638.1,CREB3,0.11,0,0,36,0,Down,2859.5,0.833543526709214,7,0,781,36,Down,0.999999999998289,-4.163584049864083,0.513386908511129,0.000000000000743
MA0136.2,ELF5,0.05,4,0.6,199,0.3,Up,3668.5,0.118874843680078,7,4,781,162,Up,0.039118101927338,-1.501385874625027,1.528840560917641,1.407622226033768
MA1547.1,PITX2,0.01,7,1,102,0.1,Up,5113.5,7.197186538121514E-5,7,7,781,93,Up,4.392158114897705E-7,-1.531603801556014,3.063207603112028,6.357322033951508
MA0647.1,GRHL1,0.09,0,0,20,0,Down,2772,0.948798818664204,7,0,781,11,Down,0.999999999997788,-4.996715351275586,2.179649511334134,0.000000000000961
MA0498.2,MEIS1,0.01,15,2.1,863,1.1,Up,4288,0.00951992819222,7,7,781,457,Up,0.0455244085906,-0.38623706491413,0.77247412982826,1.341755687433257
MA1512.1,KLF11,0.15,0,0,487,0.6,Down,3731,0.09616054601648,7,0,781,285,Down,0.053043298911253,-2.67982286162267,-2.454135467971697,-1.275369473773702
MA1655.1,ZNF341,0.15,0,0,383,0.5,Down,3713.5,0.102139113251367,7,0,781,280,Down,0.055117467268427,-2.692567848999695,-2.428645493217647,-1.258710747134865
MA0729.1,RARA,0,0,0,0,0,Up,2733.5,1,7,0,781,0,Up,1,-7.258496329304092,6.703211467391146,-0
MA1550.1,PPARD,0,0,0,0,0,Up,2733.5,1,7,0,781,0,Up,1,-7.258496329304092,6.703211467391146,-0
MA0753.2,ZNF740,0.03,1,0.1,22,0,Up,3047,0.601046787526476,7,1,781,22,Up,0.187924145955115,-3.720088530778676,2.796320871782628,0.726017414783203
MA0848.1,FOXO4,0,6,0.9,86,0.1,Up,4779.5,6.435034448639687E-4,7,6,781,78,Up,7.976023829466921E-6,-1.760966095787732,3.109030436640611,5.098213557180035
MA1632.1,ATF2,0.15,0,0,158,0.2,Down,3125.5,0.513222492731884,7,0,781,112,Down,0.601658499463213,-3.351605733695573,-1.110569723825891,-0.22064994376131
MA0073.1,RREB1,0.14,0,0,11,0,Down,2772,0.948798818664204,7,0,781,11,Down,0.999999999997788,-4.996715351275586,2.179649511334134,0.000000000000961
MA0881.1,Dlx4,0.02,12,1.7,311,0.4,Up,4232,0.012440670091428,7,5,781,183,Up,0.010117532290319,-1.268962393563837,1.64300683318523,1.994925400874138
MA0003.4,TFAP2A,0.02,0,0,11,0,Down,2772,0.948798818664204,7,0,781,11,Down,0.999999999997788,-4.996715351275586,2.179649511334134,0.000000000000961
MA0476.1,FOS,0.15,22,3.1,510,0.7,Up,4940,2.329729201551167E-4,7,7,781,251,Up,3.816014560851899E-4,-0.817843736597069,1.635687473194137,3.418389976817637
MA1112.2,NR4A1,0.14,9,1.3,307,0.4,Up,3830,0.067416949774648,7,4,781,244,Up,0.215024040380608,-1.206688501106818,0.939445813881225,0.667512981847313
MA0609.2,CREM,0.04,0,0,30,0,Down,2786,0.930221405854851,7,0,781,15,Down,0.999999999999063,-4.781398174110654,1.749015157004271,0.000000000000407
MA0760.1,ERF,0.13,0,0,133,0.2,Down,3125.5,0.513222492731884,7,0,781,112,Down,0.601658499463213,-3.351605733695573,-1.110569723825891,-0.22064994376131
MA0151.1,Arid3a,0.04,15,2.1,518,0.7,Up,4858.5,3.935833931093535E-4,7,7,781,341,Up,0.003166684897487,-0.597180147354787,1.194360294709574,2.499395149160721
MA1657.1,ZNF652,0.14,4,0.6,89,0.1,Up,3656.5,0.123682630478026,7,3,781,78,Up,0.027023687917621,-2.207508493829476,2.215945640557123,1.568255383182983
