Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.15,0,0,2236,0.5,Down,8232,0.305397723970967,3,0,4090,1398,Down,0.555596021936466,-2.177875934608916,-1.258957974897376,-0.255240872468667
MA0638.1,CREB3,0.02,0,0,9,0,Down,6148.5,0.994735403372965,3,0,4090,9,Down,0.999999999989969,-5.77874444712522,5.94277905013523,0.000000000004357
MA0136.2,ELF5,0.02,1,0.3,127,0,Up,7994.5,0.363431084300867,3,1,4090,122,Up,0.087492547671981,-3.141907983985149,3.839031125297402,1.058028937180767
MA0647.1,GRHL1,0.1,2,0.7,375,0.1,Up,7866.5,0.39739347469117,3,1,4090,254,Up,0.17554203333484,-2.614466030448586,2.784147218224276,0.755618875439457
MA1547.1,PITX2,0.15,0,0,3600,0.9,Down,9267,0.125820814415754,3,0,4090,2088,Down,0.117458971642121,-1.888582489765615,-1.837544864583978,-0.930113805741547
MA1655.1,ZNF341,0.01,1,0.3,94,0,Up,8042,0.351304137400099,3,1,4090,91,Up,0.065943606117743,-3.352377034344412,4.259969226015929,1.180827307204774
MA0498.2,MEIS1,0.01,0,0,3457,0.8,Down,9204,0.133614356128012,3,0,4090,2046,Down,0.249816760320688,-1.903236728125469,-1.80823638786427,-0.602378427969043
MA1512.1,KLF11,0.05,1,0.3,127,0,Up,7996.5,0.362915253338336,3,1,4090,120,Up,0.086112400452864,-3.153782285371453,3.86277972807001,1.064934304289983
MA0729.1,RARA,0,0,0,0,0,Up,6135,1,3,0,4090,0,Up,0.999999999992724,-7.902708203847013,10.190706563578816,0.00000000000316
MA1550.1,PPARD,0.11,0,0,9,0,Down,6148.5,0.994735403372965,3,0,4090,9,Down,0.999999999989969,-5.77874444712522,5.94277905013523,0.000000000004357
MA0753.2,ZNF740,0.09,0,0,790,0.2,Down,6589.5,0.824204285969176,3,0,4090,303,Down,0.999999999990973,-3.279931850719171,0.945153857323133,0.000000000003921
MA0848.1,FOXO4,0.07,3,1,758,0.2,Up,7525.5,0.496745831267149,3,1,4090,649,Up,0.404850994626805,-1.938634095762493,1.43248334885209,0.392704789423735
MA1632.1,ATF2,0.01,0,0,24,0,Down,6165,0.988301230694617,3,0,4090,20,Down,0.999999999991368,-5.22393220153797,4.833154558960731,0.000000000003749
MA0073.1,RREB1,0.12,0,0,9,0,Down,6148.5,0.994735403372965,3,0,4090,9,Down,0.999999999989969,-5.77874444712522,5.94277905013523,0.000000000004357
MA0881.1,Dlx4,0.06,0,0,2779,0.7,Down,8538,0.240200038505607,3,0,4090,1602,Down,0.285207273985699,-2.079653883093961,-1.455402077927288,-0.544839402342032
MA0003.4,TFAP2A,0,0,0,0,0,Up,6135,1,3,0,4090,0,Up,0.999999999992724,-7.902708203847013,10.190706563578816,0.00000000000316
MA0476.1,FOS,0.15,0,0,2199,0.5,Down,7792.5,0.417872705415319,3,0,4090,1105,Down,0.568190195220908,-2.347466548938899,-0.919776746237411,-0.245506264802093
