Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.04,1,0.5,33,0,Up,1137.5,0.262487975224533,2,1,780,32,Up,0.082669932639348,-2.661426301557831,3.848921414783248,1.082652416241483
MA0638.1,CREB3,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0136.2,ELF5,0.02,1,0.5,17,0,Up,1153.5,0.241727589778812,2,1,780,16,Up,0.043032900963089,-3.150413148392831,4.826895108453249,1.366199375976585
MA0647.1,GRHL1,0.1,2,1,75,0.1,Up,1132.5,0.269221014154451,2,1,780,51,Up,0.128650068277518,-2.329359944480448,3.184788700628485,0.89058997896361
MA1547.1,PITX2,0.15,0,0,913,1.2,Down,1251,0.139869093208262,2,0,780,471,Down,0.157857163908741,-1.524534478095087,-1.59478723358455,-0.801735704076254
MA0498.2,MEIS1,0.01,0,0,863,1.1,Down,1237,0.152030010102197,2,0,780,457,Down,0.172413228499304,-1.546277491846933,-1.551301206080858,-0.763429415751158
MA1512.1,KLF11,0.05,1,0.5,20,0,Up,1151,0.244892914428202,2,1,780,18,Up,0.048033375795333,-3.067883525257582,4.661835862182754,1.318456889984704
MA1655.1,ZNF341,0.01,1,0.5,18,0,Up,1152.5,0.242990247215544,2,1,780,17,Up,0.045534775731857,-3.107968699599574,4.742006210866736,1.341656798072588
MA0729.1,RARA,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA1550.1,PPARD,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0753.2,ZNF740,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0848.1,FOXO4,0.07,3,1.5,164,0.2,Up,1097,0.320423079375582,2,1,780,146,Up,0.340818217840313,-1.575231780860933,1.676532373389455,0.467477198834746
MA1632.1,ATF2,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0073.1,RREB1,0.15,0,0,21,0,Down,800,0.950015755036506,2,0,780,20,Down,0.99999999999808,-3.786315456123594,2.928774722472463,0.000000000000834
MA0881.1,Dlx4,0.06,0,0,720,0.9,Down,1154,0.241097995572589,2,0,780,374,Down,0.500306184935219,-1.69068050420326,-1.262495181368204,-0.300764128204671
MA0003.4,TFAP2A,0.03,0,0,22,0,Down,800,0.950015755036506,2,0,780,20,Down,0.99999999999808,-3.786315456123594,2.928774722472463,0.000000000000834
MA0476.1,FOS,0.12,0,0,384,0.5,Down,951,0.591976664267996,2,0,780,171,Down,0.999999999998116,-2.25405907534623,-0.135738039082266,-0.000000000000818
MA0609.2,CREM,0.06,0,0,32,0,Down,796,0.960003178758641,2,0,780,16,Down,0.999999999997603,-3.942894398753409,3.241932607732093,0.000000000001041
MA1112.2,NR4A1,0.15,0,0,363,0.5,Down,1062,0.376757430152142,2,0,780,282,Down,0.538266567552123,-1.894037929781361,-0.855780330212003,-0.269002593950862
MA0760.1,ERF,0.09,1,0.5,51,0.1,Up,1122.5,0.283040221355663,2,1,780,45,Up,0.114257738947169,-2.41871288797271,3.363494587613006,0.942114374468396
MA0151.1,Arid3a,0.06,0,0,734,0.9,Down,1167,0.225132375928615,2,0,780,387,Down,0.499412190417205,-1.666065208351836,-1.311725773071053,-0.301540860930789
MA1657.1,ZNF652,0.08,1,0.5,31,0,Up,1139.5,0.259827599994511,2,1,780,30,Up,0.077761149552459,-2.707241539290615,3.940551890248817,1.109237327806586
MA0736.1,GLIS2,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0163.1,PLAG1,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0019.1,Ddit3::Cebpa,0.05,0,0,63,0.1,Down,836,0.860668243718261,2,0,780,56,Down,0.999999999997897,-3.055001977225042,1.466147764675359,0.000000000000913
MA1544.1,OVOL1,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0527.1,ZBTB33,0.07,1,0.5,32,0,Up,1144.5,0.253258522589021,2,1,780,22,Up,0.057995028997564,-2.926683659907221,4.379436131482028,1.236609230082725
MA0846.1,FOXC2,0.07,1,0.5,75,0.1,Up,1097,0.320423079375582,2,1,780,71,Up,0.175773076028961,-2.092674539682863,2.711417891033313,0.755047647052562
MA0157.2,FOXO3,0.13,1,0.5,115,0.1,Up,1059.5,0.381002456733735,2,1,780,106,Up,0.255086435843816,-1.805255397959139,2.136579607585865,0.593312634274574
MA0042.2,FOXI1,0.08,0,0,150,0.2,Down,908,0.688275269121419,2,0,780,128,Down,0.999999999999213,-2.462279183835697,0.280702177896668,0.000000000000342
PH0082.1,Irx2,0.08,0,0,35,0,Down,800,0.950015755036506,2,0,780,20,Down,0.99999999999808,-3.786315456123594,2.928774722472463,0.000000000000834
MA0691.1,TFAP4,0.09,4,2,309,0.4,Up,1411,0.047954136538942,2,2,780,137,Up,0.031407697522019,-1.252483506782944,2.504967013565887,1.502963900281981
MA0089.2,NFE2L1,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0844.1,XBP1,0.13,0,0,57,0.1,Down,836,0.860668243718261,2,0,780,56,Down,0.999999999997897,-3.055001977225042,1.466147764675359,0.000000000000913
MA0861.1,TP73,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0819.1,CLOCK,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0079.4,SP1,0.06,0,0,18,0,Down,796,0.960003178758641,2,0,780,16,Down,0.999999999997603,-3.942894398753409,3.241932607732093,0.000000000001041
MA1581.1,ZBTB6,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA1579.1,ZBTB26,0.05,1,0.5,243,0.3,Up,959.5,0.573696555987894,2,1,780,190,Up,0.429071522836044,-1.385786614325397,1.297642040318381,0.367470308318802
MA0076.2,ELK4,0.11,2,1,344,0.4,Up,1249,0.141559048932759,2,2,780,235,Up,0.091580405474023,-0.864335786182563,1.728671572365126,1.038197437956818
MA0139.1,CTCF,0.08,0,0,17,0,Down,796,0.960003178758641,2,0,780,16,Down,0.999999999997603,-3.942894398753409,3.241932607732093,0.000000000001041
MA0686.1,SPDEF,0.07,2,1,16,0,Up,1546,0.01635427626925,2,2,780,13,Up,3.438440454393006E-4,-2.926683659907221,5.853367319814441,3.463638492203871
MA1105.2,GRHL2,0.12,1,0.5,210,0.3,Up,980,0.530744499056463,2,1,780,176,Up,0.401678613882644,-1.440848021436467,1.407764854540522,0.396121290299707
MA0494.1,Nr1h3::Rxra,0.11,0,0,17,0,Down,796,0.960003178758641,2,0,780,16,Down,0.999999999997603,-3.942894398753409,3.241932607732093,0.000000000001041
MA0071.1,RORA,0.13,2,1,376,0.5,Up,1213,0.174726120457981,2,2,780,274,Up,0.124275062137529,-0.753796241486355,1.50759248297271,0.905616011041676
MA0596.1,SREBF2,0.04,0,0,16,0,Down,796,0.960003178758641,2,0,780,16,Down,0.999999999997603,-3.942894398753409,3.241932607732093,0.000000000001041
MA0671.1,NFIX,0.02,2,1,930,1.2,Down,830,0.875467508125803,2,2,780,476,Up,0.524146038752559,-0.355961209033983,0.711922418067967,0.280547692046969
MA0595.1,SREBF1,0.02,0,0,8,0,Down,788,0.979995302754023,2,0,780,8,Down,0.99999999999836,-4.421360037807466,4.198863885840208,0.000000000000712
MA0145.2,Tcfcp2l1,0.08,2,1,132,0.2,Up,1104,0.30985359276258,2,1,780,112,Up,0.268280223072778,-1.765719612463539,2.057508036594666,0.57141134121898
MA0833.2,ATF4,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0628.1,POU6F1,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0442.2,SOX10,0.02,3,1.5,316,0.4,Up,1376,0.061751980860002,2,2,780,249,Up,0.102743875482618,-0.822679408320324,1.645358816640649,0.988244056784038
MA0820.1,FIGLA,0.11,4,2,813,1,Up,1209,0.178742811185468,2,2,780,351,Up,0.203450884334183,-0.575436971452687,1.150873942905374,0.691540418071098
MA0670.1,NFIA,0.01,0,0,371,0.5,Down,1055,0.388717148824506,2,0,780,275,Down,0.543424228233039,-1.912137204147057,-0.819581781480611,-0.264861002735668
MA0004.1,Arnt,0.08,2,1,345,0.4,Up,1005,0.480667940772808,2,1,780,189,Up,0.427136172066019,-1.389583188986512,1.305235189640611,0.369433648747656
MA1466.1,ATF6,0.14,0,0,17,0,Down,796,0.960003178758641,2,0,780,16,Down,0.999999999997603,-3.942894398753409,3.241932607732093,0.000000000001041
MA0488.1,JUN,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0741.1,KLF16,0.11,1,0.5,491,0.6,Down,872,0.773071054500945,2,1,780,237,Up,0.516339141569109,-1.226718356462903,0.979505524593392,0.287064951607533
MA0077.1,SOX9,0.12,3,1.5,455,0.6,Up,1291.5,0.108886124924032,2,2,780,297,Up,0.145891391127674,-0.695754481891302,1.391508963782603,0.835970334535986
MA0608.1,Creb3l2,0.14,1,0.5,374,0.5,Up,913,0.676774592180371,2,1,780,194,Up,0.43678017886399,-1.370797035578962,1.267662882825511,0.359737078190938
MA1127.1,FOSB,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA0752.1,ZNF410,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
MA1566.1,TBX3,0.04,1,0.5,229,0.3,Up,966,0.559900681248771,2,1,780,186,Up,0.421310471525422,-1.401094297944439,1.328257407556465,0.375397746500517
MA0607.1,Bhlha15,0.15,0,0,1405,1.8,Down,1224,0.16402803242726,2,0,780,444,Down,0.186504284951903,-1.567071654017751,-1.509712881739223,-0.729311185787792
MA0657.1,KLF13,0,0,0,0,0,Up,780,1,2,0,780,0,Up,0.999999999998181,-6.465091458432635,8.286326727090547,0.00000000000079
