geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0031690	adrenergic receptor binding	http://amigo.geneontology.org/amigo/term/GO:0031690	7	5	0.41532756489493206	12.038690476190474	1.369533410178203e-5	0.01848870103740574	156;2778;5144;9368;57561	PDE4D;GRK2;SLC9A3R1;ARRDC3;GNAS
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	http://amigo.geneontology.org/amigo/term/GO:0000981	655	64	38.862793572311496	1.646819338422392	3.6725209531018876e-5	0.018925100776401305	405;468;473;677;1649;2309;2353;2354;3054;3164;3607;4084;4152;4774;4781;5017;5308;5324;5814;5914;5934;6239;6662;6667;6721;6926;7014;7020;7023;7494;7764;7799;8462;9516;9640;10488;10765;10773;23152;25803;26298;29842;51621;55502;57684;58499;64376;79192;79977;81566;81628;83855;84662;84905;114803;116113;118472;152518;153222;153572;168620;344018;359948;374655	TBX3;NR4A1;MBD1;PLAG1;RREB1;IRX2;KDM5B;PITX2;PURB;FIGLA;CIC;TSC22D4;BHLHA15;RERE;FOSB;ZBTB6;SREBF2;TFAP4;FOS;KLF16;ZFP36L1;EHF;ZNF511;TFCP2L1;GRHL2;KLF11;IRF2BP2;CREBRF;SOX9;DDIT3;CSRNP2;HCFC1;SP1;ZNF462;NFIB;TFAP2A;IRX1;NFIA;MYSM1;SPDEF;FOXP4;ZNF341;ZNF217;IKZF5;HES6;ATF4;CREB3;NFXL1;MXD1;ARNT;OVOL1;ZNF592;KLF13;PRDM2;ZNF710;FOXK2;RBL2;ZBTB26;LITAF;GLIS2;FOXO3;TERF2;XBP1;RARA
GO:0019899	enzyme binding	http://amigo.geneontology.org/amigo/term/GO:0019899	1276	108	75.70828182941904	1.426528213166144	4.205577950311401e-5	0.018925100776401305	119;215;390;468;811;1104;1407;1655;1803;1843;2013;2029;2064;2065;2081;2181;2309;2319;2622;2886;3065;3309;3315;3326;3838;3993;4296;4641;4943;5034;5045;5048;5073;5144;5479;5500;5534;5586;5611;5914;6118;6135;6477;6548;6662;6667;6850;7014;7023;7186;7251;7332;7430;7534;8312;8453;8535;9043;9325;9361;9368;9761;9882;9901;9922;10019;10040;10059;10298;10487;10519;10527;10613;10776;10956;11135;23286;23331;23621;23637;23753;26088;29888;29934;29979;51399;51684;54461;54521;54623;54869;56882;57589;65979;79577;79594;79961;80196;81566;84148;91582;116729;125058;139818;145376;221002;286262;401494	PAFAH1B1;TSG101;PPP3R1;PPP1R36;SPAG9;CBX4;TBC1D16;OS9;IQSEC1;PDE4D;ADD2;MAP3K11;STRN4;SLC9A1;RPL11;TRIP4;MYO1C;LLGL2;EMP2;TFAP4;PARN;GAS8;RNF34;SH2B3;TRAF2;GRB7;DNAJC3;IPO7;ERLIN1;RND3;DPP4;EZR;HSP90AB1;PPP1CB;FLOT2;DUSP1;WWC1;SLC9A3R1;P4HB;PPP1R27;SOX9;DDX5;ERBB3;ERN1;TOM1L1;CSRNP2;TBC1D25;ABCD1;DNM1L;CALR;SP1;HACD4;RIC1;SYK;SRGAP3;HDAC1;CDC73;DENND2D;YWHAZ;TBC1D4;SUFU;ACSL3;RASGEF1A;RPS19BP1;ATF4;GGA1;CDC42EP1;CRY1;HSPB1;BACE1;TRAPPC4;ENSA;CDC42SE1;RPA2;RCC1;PHACTR4;CAP1;ARPP19;PPIB;CIB1;FURIN;KPNA2;SIAH1;LONP1;MUL1;PAK4;PAF1;TPRN;PKN2;HSPA5;RABGAP1;AXIN1;DOCK11;WDR44;SNX12;FOXO3;TERF2;TTC28;UBE2L3;SDF2L1;MLEC;FBXW5;ERBB2;RARA;EPS8L1;KAT8;UBQLN1;CUL2
GO:0043565	sequence-specific DNA binding	http://amigo.geneontology.org/amigo/term/GO:0043565	604	59	35.83683559950556	1.6463507174392935	7.687439123094109e-5	0.025945107040442617	405;468;473;1106;1407;1649;2309;2353;2354;3054;3065;3164;3182;3607;4084;4152;4774;4781;5017;5308;5324;5814;5914;6118;6239;6662;6667;6721;6926;7014;7020;7023;7494;7764;7799;9014;9361;9516;10488;10765;25803;26298;29842;51142;51621;55502;64376;79192;79977;81566;83855;84662;116113;152518;153222;153572;168620;344018;359948	TBX3;HNRNPAB;NR4A1;MBD1;PLAG1;RREB1;IRX2;KDM5B;PITX2;PURB;FIGLA;BHLHA15;RERE;FOSB;SREBF2;TFAP4;FOS;KLF16;EHF;TFCP2L1;TAF1B;GRHL2;IRF2BP2;CHCHD2;CREBRF;SOX9;DDIT3;CSRNP2;HCFC1;SP1;NFIB;TFAP2A;IRX1;HDAC1;NFIA;SPDEF;FOXP4;ZNF217;IKZF5;HES6;ATF4;CRY1;CREB3;NFXL1;MXD1;ARNT;OVOL1;RPA2;CHD2;KLF13;PRDM2;FOXK2;LONP1;LITAF;GLIS2;FOXO3;TERF2;XBP1;RARA
GO:0003690	double-stranded DNA binding	http://amigo.geneontology.org/amigo/term/GO:0003690	520	52	30.85290482076638	1.6854166666666666	1.1639320688505705e-4	0.028918531392430058	405;468;1106;1407;1649;2309;2353;2354;3054;3065;3164;3182;3607;4084;4152;4774;4781;5017;5308;5324;5814;5914;6118;6239;6662;6667;6721;6926;7014;7020;7023;7494;7764;7799;9014;9516;10084;10488;10765;26298;29842;51621;55502;64376;80298;83855;84662;152518;153222;168620;344018;359948	TBX3;HNRNPAB;NR4A1;MBD1;PLAG1;RREB1;KDM5B;MTERF2;PITX2;PURB;FIGLA;BHLHA15;FOSB;SREBF2;TFAP4;FOS;KLF16;EHF;TFCP2L1;TAF1B;IRF2BP2;CREBRF;SOX9;DDIT3;PQBP1;HCFC1;SP1;NFIB;TFAP2A;HDAC1;NFIA;ZNF217;IKZF5;HES6;ATF4;CRY1;CREB3;NFXL1;MXD1;ARNT;OVOL1;RPA2;CHD2;KLF13;PRDM2;FOXK2;LITAF;GLIS2;FOXO3;TERF2;XBP1;RARA
GO:0140110	transcription regulator activity	http://amigo.geneontology.org/amigo/term/GO:0140110	922	81	54.70457354758962	1.4806805856832972	1.4102482070288413e-4	0.028918531392430058	405;468;473;677;1649;2309;2353;2354;3054;3065;3164;3182;3607;4084;4152;4774;4781;5017;5308;5324;5814;5914;5934;6239;6602;6662;6667;6721;6926;7014;7020;7023;7251;7332;7494;7764;7799;7994;8462;8535;9318;9325;9516;9640;10084;10488;10765;10773;10848;23152;23286;25803;26298;29079;29842;51621;51684;55502;57684;58499;64376;79192;79977;81566;81628;83637;83855;84662;84905;90390;114803;116113;118472;152518;153222;153572;168620;283149;344018;359948;374655	TSG101;TBX3;HNRNPAB;CBX4;NR4A1;MBD1;PLAG1;RREB1;IRX2;KDM5B;PITX2;PURB;FIGLA;BCL9L;CIC;TSC22D4;TRIP4;BHLHA15;RERE;FOSB;ZBTB6;SREBF2;TFAP4;FOS;KLF16;ZFP36L1;EHF;ZNF511;TFCP2L1;COPS2;MED4;GRHL2;KLF11;IRF2BP2;CREBRF;WWC1;ZMIZ2;SOX9;SMARCD1;DDIT3;CSRNP2;PQBP1;HCFC1;SP1;ZNF462;NFIB;TFAP2A;IRX1;HDAC1;MED30;NFIA;MYSM1;SPDEF;FOXP4;ZNF341;ZNF217;IKZF5;SUFU;HES6;ATF4;CREB3;NFXL1;KAT6A;MXD1;ARNT;OVOL1;ZNF592;KLF13;PRDM2;ZNF710;FOXK2;RBL2;PPP1R13L;ZBTB26;LITAF;GLIS2;FOXO3;TERF2;XBP1;UBE2L3;RARA
GO:0003700	DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0003700	714	66	42.36341161928307	1.5579481792717085	1.4994794055334104e-4	0.028918531392430058	405;468;473;677;1649;2309;2353;2354;3054;3065;3164;3182;3607;4084;4152;4774;4781;5017;5308;5324;5814;5914;5934;6239;6662;6667;6721;6926;7014;7020;7023;7494;7764;7799;8462;9516;9640;10488;10765;10773;23152;25803;26298;29842;51621;55502;57684;58499;64376;79192;79977;81566;81628;83855;84662;84905;114803;116113;118472;152518;153222;153572;168620;344018;359948;374655	TBX3;HNRNPAB;NR4A1;MBD1;PLAG1;RREB1;IRX2;KDM5B;PITX2;PURB;FIGLA;CIC;TSC22D4;BHLHA15;RERE;FOSB;ZBTB6;SREBF2;TFAP4;FOS;KLF16;ZFP36L1;EHF;ZNF511;TFCP2L1;GRHL2;KLF11;IRF2BP2;CREBRF;SOX9;DDIT3;CSRNP2;HCFC1;SP1;ZNF462;NFIB;TFAP2A;IRX1;HDAC1;NFIA;MYSM1;SPDEF;FOXP4;ZNF341;ZNF217;IKZF5;HES6;ATF4;CREB3;NFXL1;MXD1;ARNT;OVOL1;ZNF592;KLF13;PRDM2;ZNF710;FOXK2;RBL2;ZBTB26;LITAF;GLIS2;FOXO3;TERF2;XBP1;RARA
GO:0001012	RNA polymerase II regulatory region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0001012	415	43	24.6229913473424	1.7463353413654619	2.1439144614321393e-4	0.031680026038587994	468;1106;1407;1649;2309;2353;2354;3065;3164;3607;4084;4774;4781;5017;5308;5324;5814;5914;5934;6239;6662;6667;6721;6926;7020;7023;7494;7764;7799;9516;10488;26298;29842;51621;55502;64376;83855;84662;152518;153222;168620;344018;359948	TBX3;NR4A1;PLAG1;RREB1;PITX2;PURB;FIGLA;BHLHA15;FOSB;SREBF2;TFAP4;FOS;KLF16;EHF;TFCP2L1;IRF2BP2;CREBRF;SOX9;DDIT3;SP1;NFIB;TFAP2A;HDAC1;NFIA;ZNF217;IKZF5;HES6;ATF4;CRY1;CREB3;NFXL1;MXD1;OVOL1;CHD2;KLF13;PRDM2;FOXK2;RBL2;LITAF;GLIS2;FOXO3;XBP1;RARA
GO:1990837	sequence-specific double-stranded DNA binding	http://amigo.geneontology.org/amigo/term/GO:1990837	467	47	27.708281829419036	1.696243754461099	2.164331630132299e-4	0.031680026038587994	405;468;1106;1407;1649;2309;2353;2354;3054;3065;3164;3182;3607;4084;4774;4781;5017;5308;5324;5814;5914;6239;6662;6667;6721;6926;7020;7023;7494;7764;7799;9014;9516;10488;10765;26298;29842;51621;55502;64376;83855;84662;152518;153222;168620;344018;359948	TBX3;HNRNPAB;NR4A1;PLAG1;RREB1;KDM5B;PITX2;PURB;FIGLA;BHLHA15;FOSB;SREBF2;TFAP4;FOS;KLF16;EHF;TFCP2L1;TAF1B;IRF2BP2;CREBRF;SOX9;DDIT3;HCFC1;SP1;NFIB;TFAP2A;HDAC1;NFIA;ZNF217;IKZF5;HES6;ATF4;CRY1;CREB3;NFXL1;MXD1;ARNT;OVOL1;CHD2;KLF13;PRDM2;FOXK2;LITAF;GLIS2;FOXO3;XBP1;RARA
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	http://amigo.geneontology.org/amigo/term/GO:0001228	255	30	15.129789864029666	1.982843137254902	2.3466685954509625e-4	0.031680026038587994	468;1649;2309;2353;2354;3054;3164;3607;4774;4781;5017;5308;5324;6239;6662;6667;7020;7023;7799;9516;10488;26298;51621;79977;81566;84662;153222;168620;344018;359948	NR4A1;PLAG1;RREB1;PITX2;FIGLA;BHLHA15;FOSB;TFAP4;FOS;EHF;GRHL2;IRF2BP2;CREBRF;SOX9;DDIT3;CSRNP2;HCFC1;SP1;NFIB;TFAP2A;NFIA;ATF4;CREB3;OVOL1;KLF13;PRDM2;FOXK2;LITAF;GLIS2;FOXO3
