Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.07,8,0.5,134,0.1,Up,15090.5,0.007971448651331,17,8,1292,119,Up,7.269439237922393E-5,-2.238450966458088,2.393261581526922,4.138499089177945
MA0638.1,CREB3,0.15,5,0.3,193,0.1,Up,12805,0.239077103983456,17,5,1292,157,Up,0.048829062356063,-2.353295972561344,1.366889148507349,1.311321615209993
MA0136.2,ELF5,0.1,47,2.8,2492,1.9,Up,13648.5,0.08506398895903,17,17,1292,986,Up,0.01792885089358,-0.194886662239369,0.389773324478738,1.746447544602337
MA0647.1,GRHL1,0.12,17,1,264,0.2,Up,15055.5,0.008521581710342,17,8,1292,131,Up,1.40934775889323E-4,-2.169424875802311,2.255209400215368,3.850981830784606
MA1547.1,PITX2,0.15,37,2.2,1285,1,Up,13567.5,0.094974660224306,17,12,1292,708,Up,0.22669092311953,-0.67637567472726,0.381897695114037,0.644565869013409
MA1512.1,KLF11,0.14,5,0.3,587,0.5,Down,12897.5,0.216074695540124,17,2,1292,392,Down,0.114914859820499,-2.263377321740456,-1.087955200634297,-0.939623808380747
MA0498.2,MEIS1,0,4,0.2,103,0.1,Up,12746.5,0.254487459636379,17,4,1292,95,Up,0.034068660631033,-2.858938876334602,1.799161721663894,1.467644939868744
MA1655.1,ZNF341,0.03,0,0,116,0.1,Down,11891.5,0.556964137298642,17,0,1292,107,Down,0.388760493355195,-4.358519366278902,-1.54152730133213,-0.410317875406254
MA0729.1,RARA,0,0,0,0,0,Up,10982,1,17,0,1292,0,Up,1,-8.232615791073632,6.206665548257332,-0
MA1550.1,PPARD,0.08,0,0,2,0,Down,10999,0.991240495978781,17,0,1292,2,Down,0.999999999999744,-7.071651743629951,3.884737453369969,0.000000000000111
MA0753.2,ZNF740,0.14,14,0.8,620,0.5,Up,12472,0.335926701929548,17,5,1292,199,Up,0.165871193313972,-2.18277751364381,1.025852230672282,0.780229030920013
MA0848.1,FOXO4,0.1,9,0.5,401,0.3,Up,13317,0.131568034478686,17,8,1292,317,Up,0.045271143753667,-1.533577979618698,0.983515607848142,1.344178533124995
MA1632.1,ATF2,0.15,5,0.3,231,0.2,Up,11519.5,0.728502316116179,17,3,1292,168,Up,0.478022726276064,-2.6306359394539,0.617415689133076,0.320551455560126
MA0073.1,RREB1,0.06,0,0,2,0,Down,10999,0.991240495978781,17,0,1292,2,Down,0.999999999999744,-7.071651743629951,3.884737453369969,0.000000000000111
MA0881.1,Dlx4,0.13,67,3.9,2178,1.7,Up,16352,5.24433698863902E-4,17,17,1292,849,Up,0.001216279937501,-0.302739214009038,0.605478428018076,2.91496645687252
MA0003.4,TFAP2A,0.15,2,0.1,419,0.3,Down,12268.5,0.406073046566619,17,1,1292,231,Down,0.33534380228104,-3.012700349082936,-1.06324033428175,-0.47450971574354
MA0476.1,FOS,0.03,3,0.2,169,0.1,Up,11828.5,0.584604621790984,17,3,1292,121,Up,0.213061234094476,-2.866532078241939,1.089207966709154,0.67149556178452
MA1112.2,NR4A1,0.08,0,0,88,0.1,Down,11662,0.66055630732009,17,0,1292,80,Down,0.618826000475432,-4.567157352016323,-1.124251329857286,-0.208431447355047
MA0609.2,CREM,0.04,2,0.1,42,0,Up,11449.5,0.762718883910415,17,1,1292,21,Up,0.251686813353394,-4.727002163362005,2.365363294276388,0.599139537879837
MA0760.1,ERF,0.15,5,0.3,373,0.3,Up,11626,0.677485839213125,17,5,1292,286,Up,0.555176326339351,-1.921704317376531,0.503705838137723,0.255569061212045
MA0151.1,Arid3a,0.07,72,4.2,1895,1.5,Up,15834.5,0.001725858997438,17,15,1292,809,Up,0.040063479493506,-0.425074000728911,0.49997458834164,1.397251335142107
MA1657.1,ZNF652,0.08,3,0.2,48,0,Up,11904,0.551556566004013,17,2,1292,46,Up,0.12630727706386,-3.802072338075935,1.989434832036661,0.898571627293952
MA0736.1,GLIS2,0.14,3,0.2,109,0.1,Up,11538,0.719545860899191,17,2,1292,90,Up,0.338275930696899,-3.321728800088348,1.028747756061487,0.470728902411244
MA0163.1,PLAG1,0.08,0,0,2,0,Down,10999,0.991240495978781,17,0,1292,2,Down,0.999999999999744,-7.071651743629951,3.884737453369969,0.000000000000111
MA0019.1,Ddit3::Cebpa,0.13,23,1.4,517,0.4,Up,15456.5,0.003856829849248,17,11,1292,380,Up,0.005230249589158,-1.184958491293353,1.158474860810798,2.28147758596874
MA1544.1,OVOL1,0.09,1,0.1,21,0,Up,11449.5,0.762718883910415,17,1,1292,21,Up,0.251686813353394,-4.727002163362005,2.365363294276388,0.599139537879837
MA0846.1,FOXC2,0.14,26,1.5,1087,0.8,Up,15150,0.007108844582855,17,14,1292,640,Up,0.00715087639639,-0.642097913339022,0.741591783043256,2.145640728717562
MA0527.1,ZBTB33,0.15,0,0,284,0.2,Down,12520.5,0.320434162771166,17,0,1292,181,Down,0.151557553191001,-3.980702922075756,-2.29716018973842,-0.819422414773556
MA0157.2,FOXO3,0.14,12,0.7,411,0.3,Up,13449.5,0.11104448962924,17,8,1292,331,Up,0.053610409911584,-1.502451840392168,0.921263329395082,1.270750872094624
MA0042.2,FOXI1,0.09,6,0.4,304,0.2,Up,12046.5,0.49179540221214,17,5,1292,257,Up,0.357564023529192,-1.998685670719693,0.657668544824047,0.446646184419608
PH0082.1,Irx2,0.15,15,0.9,259,0.2,Up,14391.5,0.027675109504622,17,7,1292,127,Up,8.165558706585488E-4,-2.281993774839944,2.119202707006991,3.088014094468552
MA0691.1,TFAP4,0.08,19,1.1,318,0.2,Up,16079,9.960083871661807E-4,17,10,1292,159,Up,8.654694719604039E-6,-1.877750772801817,2.281570357271221,5.062748246555736
MA0089.2,NFE2L1,0.07,0,0,7,0,Down,11041.5,0.969348663000639,17,0,1292,7,Down,0.999999999999473,-6.279170493269372,2.299774952648812,0.000000000000229
MA0844.1,XBP1,0.14,0,0,126,0.1,Down,11917,0.545960201183395,17,0,1292,110,Down,0.388630093005333,-4.338664511377916,-1.581237011134101,-0.410463573473373
MA0861.1,TP73,0.09,0,0,7,0,Down,11041.5,0.969348663000639,17,0,1292,7,Down,0.999999999999473,-6.279170493269372,2.299774952648812,0.000000000000229
MA0819.1,CLOCK,0.04,4,0.2,53,0,Up,11985,0.517153635943057,17,2,1292,35,Up,0.081022620633952,-3.99677818387761,2.378846523640011,1.091393713899182
MA0079.4,SP1,0.15,0,0,223,0.2,Down,12410,0.356421663755188,17,0,1292,168,Down,0.151201520527466,-4.034313400482702,-2.189939232924528,-0.820443841418359
MA1581.1,ZBTB6,0.11,5,0.3,125,0.1,Up,12080.5,0.478068044165573,17,3,1292,109,Up,0.172410342708172,-2.941544800244243,1.239233410713761,0.763436684878151
MA1579.1,ZBTB26,0.02,17,1,129,0.1,Up,17910.5,7.661261020808219E-6,17,12,1292,121,Up,3.011926949726425E-9,-1.948281444383379,2.925709234426274,8.521155565577393
MA0076.2,ELK4,0.03,5,0.3,110,0.1,Up,12192,0.434555400328977,17,3,1292,94,Up,0.125831019876934,-3.047817117934294,1.451778046093862,0.900212283368372
MA0139.1,CTCF,0.09,1,0.1,37,0,Up,11329.5,0.822433521703505,17,1,1292,35,Up,0.37938556820533,-4.365260980960713,1.641880929473805,0.420919193658211
MA0686.1,SPDEF,0.15,0,0,192,0.1,Down,12342,0.379786111017061,17,0,1292,160,Down,0.251439146178991,-4.06940104751248,-2.119763938864972,-0.599567106737463
MA1105.2,GRHL2,0.14,16,0.9,397,0.3,Up,15050.5,0.008602883313574,17,10,1292,319,Up,0.003043246496655,-1.376621019210754,1.279310850089097,2.516662869264784
MA0494.1,Nr1h3::Rxra,0.07,0,0,7,0,Down,11041.5,0.969348663000639,17,0,1292,7,Down,0.999999999999473,-6.279170493269372,2.299774952648812,0.000000000000229
MA0071.1,RORA,0.01,2,0.1,10,0,Up,12189,0.435695374944054,17,2,1292,10,Up,0.009711129435834,-4.875493032240571,4.136276220365932,2.012730257298421
MA0596.1,SREBF2,0.13,14,0.8,342,0.3,Up,14761.5,0.014654446099194,17,9,1292,278,Up,0.004721450514469,-1.547885275681823,1.333059544360884,2.325924557795196
MA0671.1,NFIX,0.02,49,2.9,1537,1.2,Up,15794.5,0.001884082907532,17,16,1292,824,Up,0.008917715694579,-0.366730889675672,0.563683984178317,2.049746377494807
MA0595.1,SREBF1,0.11,10,0.6,228,0.2,Up,14579,0.020181886479301,17,8,1292,194,Up,0.001944830183314,-1.887071197955366,1.690502044521478,2.711118313962715
